Return,Volatility,Sharpe Ratio,etf_0050,etf_006208,etf_0056,etf_00679b,etf_00687b,etf_00631l,Risk Profile
0.235495731556247,0.17402601711548837,1.2957587336300522,0.19350338138677456,0.2717513020601924,0.009522345771218146,0.10132080240597516,0.24164353110408684,0.18225863727175304,成長型
0.162943193518357,0.12632682749926313,1.2106944862463922,0.13435979754615188,0.20633291413595242,0.21139966458254508,0.2688573704908743,0.13719450414355733,0.041855749100918826,穩健型
0.2601948048375048,0.19149274077619477,1.3065498139687575,0.16836725648632248,0.09199603293828544,0.2081086471494162,0.06379464271858641,0.20223651551471047,0.26549690519267904,成長型
0.26248632852961423,0.1882792753193385,1.3410202907429658,0.2590371132973734,0.15106167378227006,0.2423286764986405,0.12639379005157209,0.047618089059114875,0.17356065731102888,成長型
0.22323195594575024,0.17107859128135625,1.2463976605644855,0.147978785041578,0.04350005379400161,0.15999929125986176,0.1027698736061111,0.29153478762920754,0.25421720866923997,成長型
0.27330731476360515,0.2012688773115441,1.3082366150233538,0.03676013886921697,0.31197570185724927,0.04784359562886899,0.17907702418155427,0.12209612115080079,0.30224741831230956,成長型
0.258103957930664,0.18454868310491956,1.3443821638630278,0.27632652344012987,0.16918923789551668,0.22832726639833467,0.1661756187637134,0.008758608379042944,0.15122274512326236,成長型
0.27686174505596806,0.20715580865178904,1.2882175343899698,0.048176966947584936,0.03932192003202651,0.2720429931264023,0.07010395996592379,0.20244713947197124,0.3679070204560912,成長型
0.1325750402020485,0.11404810074756652,1.0747661679465883,0.009024474087410072,0.14838593102479686,0.3645177965738457,0.32641637763260284,0.12167802100353506,0.029977399677809533,穩健型
0.16818635864160694,0.12854632709681096,1.230578595392099,0.13382601145756387,0.013263816828332626,0.5774022784512844,0.008184039521349856,0.24808796843075862,0.01923588531071077,穩健型
0.2927768388859063,0.2135316014132628,1.3242856655143436,0.027117925735004288,0.34809723706362705,0.06532184682719415,0.17750869898873495,0.06524719486388954,0.3167070965215501,成長型
0.2094586318312294,0.16325143071418977,1.2217879559072833,0.12912410337979294,0.07178548479786644,0.13064889072443983,0.2543820866728583,0.1789219532496872,0.23513748117535532,成長型
0.17019189814421723,0.13621554251556617,1.1760177670320633,0.11270300755606524,0.026414660979407235,0.316681710893009,0.37563088900666614,0.04172942781542965,0.12684030374942276,穩健型
0.13602812575327325,0.11825554777500218,1.0657269627050352,0.22049880900016164,0.13977079840470347,0.11310870426278048,0.23117569431656046,0.2768538973700367,0.018592096645757252,穩健型
0.18627783753245789,0.1395202936372403,1.2634566122028743,0.3849316376377128,0.15674275746844737,0.05762564818273848,0.057590101431715474,0.31252549594361195,0.030584359335773945,穩健型
0.13669858484640401,0.12571804408815399,1.0077995228557841,0.22994914126125746,0.1354404095065095,0.003294534235218781,0.2941459912332276,0.2784412063259168,0.05872871743786975,穩健型
0.2827887268225478,0.2037935465870477,1.33855429374958,0.19092332595651015,0.20910780106742105,0.19047414752819275,0.13923966100006827,0.03388743811311258,0.23636762633469519,成長型
0.27338185804326703,0.19511029541634303,1.349912660842629,0.2461140756947301,0.27094487332816725,0.1431253139498471,0.16449149454306738,0.0031557101161902358,0.17216853236799806,成長型
0.1646688108946917,0.1267053387810019,1.2206968734129033,0.08951964246086908,0.23008851120870016,0.24181273395494549,0.19281708855489932,0.20051770621522214,0.04524431760536372,穩健型
0.20307154523281173,0.1562398412640679,1.2357382321356365,0.12108940784879241,0.001655155575528101,0.3135252639409454,0.07493921242201969,0.29175971884392615,0.1970312413687883,成長型
0.18087401005272755,0.14285248711887089,1.1961570533283001,0.14932741336891092,0.10036761734792034,0.16629907433023963,0.3346522295455216,0.10715799629518663,0.14219566911222076,穩健型
0.21261975041122708,0.1553159425259499,1.3045650505412458,0.2715242312420152,0.29135496003193906,0.03313394200702212,0.18907582100421716,0.13780855391495989,0.07710249179984648,成長型
0.16559101733183942,0.13248996007833475,1.1743608137540849,0.12242473250602019,0.15379693802539807,0.17764679253576257,0.2508177497140066,0.20009398617094673,0.09521980104786591,穩健型
0.2576162519062209,0.1907301656903594,1.2982542693755803,0.2528551372857917,0.004349642922292658,0.20870604769968604,0.2122813921491958,0.05973346881703665,0.26207431112599716,成長型
0.26374281711799696,0.1919740902167351,1.3217555391538836,0.21890852194706584,0.06733506110243263,0.2830746625978718,0.10225876735902649,0.09939002015036605,0.22903296684323723,成長型
0.32904126282520624,0.23661778112973567,1.3483401851793988,0.2705413046875187,0.20367511751854453,0.2092476041184455,0.007350448878877188,0.036650174655096894,0.2725353501415171,積極型
0.2952219359858414,0.2106999793222326,1.353687536673362,0.25006185847969237,0.22664022577954518,0.2178710343861028,0.011258429349518937,0.08820486110735486,0.20596359089778588,成長型
0.27245392514286193,0.1938864412161827,1.3536476480592405,0.24334844357806526,0.40238079688452927,0.023963062065457896,0.102619599597777,0.08316801857755243,0.1445200792966182,成長型
0.28716459563782193,0.20544472285558749,1.3490957167716993,0.013457492495218954,0.42285873470571217,0.14767142667820915,0.08669185392958921,0.08801222894793155,0.24130826324333893,成長型
0.25396207507476326,0.19077576848555794,1.2787896335651852,0.16709934107508004,0.14166307747086715,0.0386464360761922,0.08435235083861768,0.27653854498236563,0.2917002495568774,成長型
0.21527111846818991,0.1633928572526005,1.2563041121855583,0.08927508328603372,0.13165866273433158,0.18579755386965308,0.1901232766016788,0.18926470012411067,0.21388072338419215,成長型
0.24389982316208317,0.18096563704932883,1.2925096000315528,0.07990381740145429,0.2883078616144895,0.04538154288045099,0.10342936621867334,0.24476057161101727,0.23821684027391465,成長型
0.26957080918630477,0.2019554695974651,1.285287344302572,0.09712561707638862,0.15115254656243748,0.0787988618641079,0.3047019614558947,0.02916048106341625,0.33906053197775515,成長型
0.23009041656566337,0.1736390220762817,1.267517024306754,0.26847501601168233,0.10180203279984937,0.0369390955194805,0.198615665425179,0.17993725205978434,0.2142309381840246,成長型
0.23922464045300684,0.17880586308672392,1.2819749671286167,0.004210838479282004,0.15402361500036377,0.2509043700620026,0.05946459209164913,0.2634129445696552,0.26798363979704737,成長型
0.16369573817059738,0.1258457872108703,1.2213022110391427,0.07233646895337485,0.31179134138515663,0.17976344709586742,0.12829403160491837,0.2764588155558142,0.031355895404868606,穩健型
0.1680449813112027,0.1355536007569592,1.1659224131904058,0.19778649266515705,0.18037524217507958,0.05564834893970587,0.27635291864596684,0.20045508380218394,0.0893819137719068,穩健型
0.21281176299071716,0.15783166071522275,1.2849878286249072,0.14069448483871513,0.24968864843467148,0.11114299811941251,0.01756217627589846,0.3373013080421879,0.14361038428911457,成長型
0.17108510213644354,0.13139849822052765,1.2259280305174607,0.32804901592493485,0.022969010699555353,0.217479135029397,0.08849738259362787,0.29528123296474534,0.04772422278773956,穩健型
0.19971232635415342,0.150358416920095,1.2617339969399404,0.17616676147681676,0.268056936320938,0.05200782491488427,0.21128773770306852,0.18015433142919907,0.11232640815509327,成長型
0.18195105121909314,0.15566846839686566,1.1045978224743382,0.08286947801999646,0.0354952059129257,0.0573201104417451,0.2833238599239186,0.2825577846510433,0.25843356105037085,成長型
0.19060688699208636,0.14657574041953203,1.2321744817740623,0.1786509021830383,0.15063123950742724,0.12602906162248761,0.23713548678896987,0.17645916978053033,0.1310941401175467,穩健型
